resp cov1 cov2 cov3
1 28 8.74709237851533 50 0
2 6 10.3672866484442 49 1
3 2 8.32874277517991 41 1
4 273 13.1905616042756 47 0
5 63 10.6590155436307 53 0
6 6 8.35906323176397 58 1
7 12 10.974858104857 49 1
8 15 11.4766494102584 52 1
9 97 11.151562703307 50 0
10 6 9.38922322568729 42 1
11 236 13.0235623369017 48 0
12 79 10.7796864728229 48 0
13 5 8.75751883891639 50 1
14 0 5.570600225645 57 1
15 28 12.2498618362862 55 1
16 7 9.91013278196954 49 1
17 50 9.96761947380211 48 0
18 15 11.8876724213706 54 1
19 14 11.6424423901962 53 1
20 111 11.187802642435 46 0
21 145 11.8379547432164 46 0
22 15 11.5642726014621 52 1
23 7 10.1491299667304 55 1
24 1 6.02129660827325 49 1
25 97 11.2396514957894 55 0
